v1,v2,encoding,v2_clean,v2_encoded
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,gram usually run like half eighth smart second gram,"[1449, 1059, 184, 6, 178, 2377, 1450, 355, 1449]"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,fyi ride early tomorrow morning crash place tonight,"[1060, 1061, 132, 63, 73, 1451, 95, 99]"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,wow realize embarassed accomodation think like good happy \the cave\ sorry sorry offer sorry room embarasse,"[598, 931, 3646, 3647, 14, 6, 4, 49, 1768, 3648, 21, 21, 135, 21, 174, 1452]"
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,"[190, 1453, 2378, 26, 3649, 3650, 2379, 1062, 3651, 136, 834, 2380, 599, 3652, 92, 19, 92, 2378]"
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,mallika sherawat yesterday find @ lturlgt,"[3653, 3654, 324, 61, 1769]"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,congrat 1 year special cinema pass 09061209465 suprman matrix3 starwars3 etc free bx420ip45we 150pm miss,"[404, 67, 79, 156, 835, 452, 1770, 1771, 1772, 1773, 544, 2, 1774, 1063, 34]"
ham,"Sorry, I'll call later in meeting.",0,sorry ill later meeting,"[21, 9, 28, 405]"
ham,Tell where you reached,0,tell reach,"[13, 124]"
ham,Yes..gauti and sehwag out of odi series.,0,yesgauti sehwag odi series,"[3655, 3656, 2381, 1454]"
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,pick $ 1 burger way home pain kill,"[62, 67, 1775, 55, 17, 294, 932]"
ham,Ha ha ha good joke. Girls are situation seekers.,0,ha ha ha good joke girl situation seeker,"[446, 446, 446, 4, 443, 125, 692, 3657]"
ham,Its a part of checking IQ,0,check iq,"[113, 1455]"
ham,"Sorry my roommates took forever, it ok if I come by now?",0,sorry roommate forever ok,"[21, 831, 750, 3]"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,ok lar double check wif da hair dresser wun cut short cut look nice,"[3, 177, 325, 113, 270, 32, 311, 1776, 933, 453, 545, 453, 84, 104]"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,value customer pleased advise follow recent review mob award å£1500 bonus prize 09066364589,"[425, 100, 1064, 1456, 513, 1777, 1065, 295, 91, 1457, 356, 58, 2382]"
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,today \song dedicated day\ song dedicate send valuable frnd rply,"[24, 454, 2383, 8, 454, 2384, 5, 1458, 274, 693]"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,urgent award complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 18 + 6å£150morefrmmob shracomorsglsuplt10 ls1 3aj,"[93, 91, 600, 326, 2385, 2386, 2387, 203, 38, 16, 250, 1440, 130, 2388, 2389, 2390, 2391]"
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,hear new \divorce barbie\ ken stuff,"[157, 26, 2392, 3658, 3659, 140]"
ham,I plane to give on this month end.,0,plane month end,"[1239, 154, 92]"
ham,Wah lucky man... Then can save money... Hee...,0,wah lucky man save money hee,"[1459, 430, 112, 482, 105, 546]"
ham,Finished class where are you.,0,finished class,"[2393, 134]"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,hi babe home wanna xx,"[29, 68, 17, 179, 648]"
ham,K..k:)where are you?how did you performed?,0,kkwhere youhow perform,"[2394, 3660, 2395]"
ham,U can call me now...,0,,[]
ham,I am waiting machan. Call me once you free.,0,wait machan free,"[43, 1460, 2]"
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,cool gentleman treat dignity respect,"[164, 1778, 386, 1779, 1780]"
ham,I like you peoples very much:) but am very shy pa.,0,like people shy pa,"[6, 121, 2396, 227]"
ham,Does not operate after  &lt;#&gt;  or what,0,operate,[3661]
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,look job tas earn,"[84, 145, 3662, 1781]"
ham,"Sorry, I'll call later",0,sorry ill later,"[21, 9, 28]"
ham,K. Did you call me just now ah? ,0,ah,[251]
ham,Ok i am on the way to home hi hi,0,ok way home hi hi,"[3, 55, 17, 29, 29]"
ham,You will be in the place of that man,0,place man,"[95, 112]"
ham,Yup next stop.,0,yup stop,"[155, 20]"
ham,"I call you later, don't have network. If urgnt, sms me.",0,later network urgnt sm,"[28, 215, 1240, 190]"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,real yo need ticket jacket multis,"[191, 180, 15, 431, 2397, 3663]"
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,yes start send request pain bed double coin factory cash nitro,"[64, 90, 5, 644, 294, 228, 325, 1066, 3664, 78, 1782]"
ham,I'm really not up to it still tonight babe,0,tonight babe,"[99, 68]"
ham,"Ela kano.,il download, come wen ur free..",0,ela kanoil download wen free,"[2398, 3665, 406, 312, 2]"
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,yeah donû÷ stand close tho youû÷ll catch,"[66, 1067, 694, 286, 428, 3666, 448]"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,sorry pain ok meet night spend late afternoon casualty mean stuff42moro include time sheet sorry,"[21, 294, 3, 35, 37, 343, 57, 262, 3667, 101, 3668, 934, 10, 1461, 21]"
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt smile becoz love smile,"[86, 836, 86, 294, 86, 837, 1783, 6, 483, 86, 1784, 229, 86, 1462, 11, 86]"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,customer service representative 0800 169 6031 10am9pm win guarantee å£1000 cash å£5000 prize,"[100, 75, 695, 547, 2399, 2400, 2401, 22, 126, 203, 78, 372, 58]"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,plan buy later check lido 530 afternoon finish work,"[107, 74, 28, 113, 1785, 935, 262, 94, 30]"
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,free ringtone wait collect simply text password \mix\ 85069 verify usher britney fml,"[2, 226, 43, 217, 1068, 12, 936, 1786, 2402, 1069, 2403, 2404, 1463]"
ham,Watching telugu movie..wat abt u?,0,watch telugu moviewat abt,"[88, 3669, 3670, 287]"
ham,i see. When we finish we have loads of loans to pay,0,finish load loan pay,"[94, 601, 649, 133]"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,hi wk ok hol yes bit run forget hairdresser appointment need home shower cause prob \ ham,"[29, 296, 3, 1070, 64, 148, 184, 172, 3671, 1241, 15, 17, 548, 357, 432, 1787]"
ham,Please don't text me anymore. I have nothing else to say.,0,text anymore,"[12, 823]"
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,okay price long legal wen pick ave ams xx,"[288, 297, 127, 1464, 312, 62, 838, 3672, 648]"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,look car buy 4the drive test,"[84, 147, 74, 3673, 175, 275]"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[644, 1050, 1050, 1442, 1755, 1756, 1757, 338, 684, 403, 685, 225, 686, 52, 684]"
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,wow right mean guess boston man change search location nyc change cuz signin page boston,"[598, 59, 101, 161, 1242, 112, 218, 339, 937, 1465, 218, 938, 3674, 650, 1242]"
ham,Umma my life and vava umma love you lot dear,0,umma life vava umma love lot dear,"[939, 72, 1788, 939, 11, 122, 46]"
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,thank lot wish birthday thank birthday truly memorable,"[54, 122, 87, 192, 54, 192, 1243, 3675]"
ham,"Aight, I'll hit you up when I get some cash",0,aight ill hit cash,"[219, 9, 455, 78]"
ham,How would my ip address test that considering my computer isn't a minecraft server,0,ip address test consider computer minecraft server,"[3676, 358, 275, 1071, 549, 3677, 3678]"
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,grumpy old people mom like lie play joke,"[3679, 373, 121, 354, 6, 1072, 136, 443]"
ham,Dont worry. I guess he's busy.,0,worry guess busy,"[230, 161, 388]"
ham,What is the plural of the noun research?,0,plural noun research,"[3680, 2405, 1466]"
ham,Going for dinner.msg you after.,0,dinnermsg,[3681]
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,ok wif cos like try new thing scare dun like mah cos loud,"[3, 270, 76, 6, 41, 26, 39, 1789, 109, 6, 550, 76, 1790]"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,gent try contact weekend draw win å£1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm,"[2406, 41, 80, 171, 149, 22, 203, 58, 126, 2407, 38, 248, 1791, 321, 751, 209]"
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,wa openin sentence formal fine juz tt eatin puttin weighthaha anythin special happen,"[1792, 3682, 1793, 3683, 141, 298, 1467, 940, 2408, 3684, 1794, 156, 129]"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,enter cabin pa happy bday boss feel special askd lunch lunch invite apartment,"[299, 1244, 227, 49, 484, 752, 53, 156, 602, 144, 144, 341, 839]"
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,winner specially select receive å£1000 holiday flights inc speak live operator claim 0871277810910pmin 18 +,"[444, 753, 241, 139, 203, 150, 1468, 840, 146, 114, 485, 38, 3685, 130]"
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,goodo yes speak friday eggpotato ratio tortilla need,"[2409, 64, 146, 486, 3686, 3687, 2410, 15]"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,hmmmy uncle inform pay school directly pls buy food,"[3688, 456, 841, 133, 255, 1073, 47, 74, 327]"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifi code 45239 expire,"[389, 842, 158, 407, 2411, 1469, 551, 356, 213, 38, 2412, 1245, 248, 1795, 408]"
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,urgent mobile award å£2000 bonus caller prize 5903 final try contact landline 09064019788 box42wr29c 150ppm,"[93, 23, 91, 244, 356, 403, 58, 3689, 402, 41, 80, 193, 3690, 3691, 209]"
ham,here is my new address -apples&pairs&all that malarky,0,new address applespairsall malarky,"[26, 358, 3692, 3693]"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,todays voda number end 7548 select receive $ 350 award match 08712300220 quote claim code 4041 standard rate app,"[374, 1246, 51, 92, 3694, 241, 139, 2413, 91, 375, 1074, 696, 38, 248, 3695, 1075, 231, 754]"
ham,I am going to sao mu today. Will be done only at 12 ,0,sao mu today 12,"[3696, 514, 24, 511]"
ham,ÌÏ predict wat time Ì_'ll finish buying?,0,ìï predict wat time ì_ll finish buy,"[117, 2414, 48, 10, 33, 276, 94, 74]"
ham,"Good stuff, will do.",0,good stuff,"[4, 140]"
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,knowyetunde send money send text bother send involve impose place apologise,"[3697, 5, 105, 5, 12, 843, 5, 2415, 3698, 95, 1796]"
ham,Are you there in room.,0,room,[174]
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,hey girl hope del bak long time sum time lucyxx,"[44, 125, 36, 697, 844, 127, 10, 2416, 10, 3699]"
ham,K..k:)how much does it cost?,0,kkhow cost,"[1470, 170]"
ham,I'm home.,0,home,[17]
ham,"Dear, will call Tmorrow.pls accomodate.",0,dear tmorrowpls accomodate,"[46, 3700, 3701]"
ham,First answer my question.,0,answer question,"[232, 210]"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,sunshine quiz wkly win sony dvd player country algarve txt ansr 82277 å£150 sptyrone,"[755, 515, 510, 22, 756, 845, 359, 941, 2417, 16, 1471, 1247, 271, 1472]"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,want lay tonight want real dogging location send direct mob join uks large dog network bt txte gravel 69888 ec2a 31pmsg@150p,"[7, 846, 99, 7, 191, 1473, 937, 5, 603, 295, 204, 698, 1248, 487, 215, 328, 651, 3702, 2418, 1474, 2419, 263]"
ham,I only haf msn. It's yijue@hotmail.com,0,haf msn yijue@hotmailcom,"[329, 2420, 942, 3703]"
ham,He is there. You call and meet him,0,meet,[35]
ham,No no. I will check all rooms befor activities,0,check room befor activity,"[113, 174, 1475, 1476]"
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,ll rcv msg chat svc free hardcore service text 69988 age verify yr network try,"[276, 2357, 60, 102, 3704, 2, 1797, 75, 12, 3705, 409, 1069, 360, 215, 41]"
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0,lazy type forgot ì _ lect saw pouch like nice,"[757, 457, 552, 33, 758, 2421, 2422, 6, 104]"
ham,"K, text me when you're on the way",0,text way,"[12, 55]"
ham,"Sir, Waiting for your mail.",0,sir wait mail,"[205, 43, 277]"
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,swt think \nver tired little thing lovable persons\ cozsomtime little thing occupy big heart gud ni8,"[2423, 14, 3706, 604, 252, 39, 699, 3707, 3708, 252, 39, 1798, 151, 152, 115, 605]"
ham,I know you are. Can you pls open the back?,0,pls open,"[47, 410]"
ham,Yes see ya not on the dot,0,yes ya dot,"[64, 108, 1799]"
ham,Whats the staff name who is taking class for us?,0,staff class,"[2424, 134]"
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,freemsg reply text randy sexy female live local luv hear netcollex ltd 08700621170150p msg reply stop end,"[539, 19, 12, 2425, 278, 1800, 114, 1076, 211, 157, 1477, 488, 2426, 60, 19, 20, 92]"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,ummmawill check inour life begin qatar pls pray hard,"[3709, 113, 3710, 72, 943, 1478, 47, 700, 411]"
ham,K..i deleted my contact that why?,0,ki delete contact,"[1077, 1078, 80]"
ham,Sindu got job in birla soft ..,0,sindu job birla soft,"[3711, 145, 1801, 1802]"
ham,The wine is flowing and i'm i have nevering..,0,wine flow nevere,"[606, 1803, 3712]"
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,yup thk cine cos need plaza mah,"[155, 128, 923, 76, 15, 2427, 550]"
ham,Ok... Ur typical reply...,0,ok typical reply,"[3, 3713, 19]"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[644, 1050, 1050, 1442, 1755, 1756, 1757, 338, 684, 403, 685, 225, 686, 52, 684]"
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,dirt floor window shirt open mouth comes flow dream world half chore time joy lot tv ill guess like thing exist like rain hail mist time,"[3714, 1804, 1479, 944, 410, 2428, 3715, 1803, 279, 187, 178, 3716, 10, 553, 122, 264, 9, 161, 6, 39, 3717, 6, 483, 3718, 3719, 10]"
ham,Aaooooright are you at work?,0,aaooooright work,"[3720, 30]"
ham,I'm leaving my house now...,0,leave house,"[45, 194]"
